text,rating,is_spam
"mình ngội sang ngày thứ ba vẫn thấy gầu nhé , chắc phải duy trì đều đặn nnhư các loại dầu gội thông thường .",3,0
quá tuyệt vời,5,0
Chất lượng ok. Hiệu quả thấy rõ sao một lần gọi.,5,0
Trị gàu hay nhưng lâu không sử dụng có thể bị gàu lại,5,0
"Sản phẩm thì mình dùng trước đó rồi, sản phảm trị gàu và nấm da đầu hiệu quả Ai đang bị nhiều thì cứ 1 tuần 2 lần. Sau đó duy trì 1 tuần 1 lần để ko bị tái lại Gội thì ủ tầm 2-3 phút rồi xả với nước Gội xong thì rít cứng tóc nên mấy bạn dùng thêm dầu xả tóc nữa cho mềm mượt",5,0
"lần đầu sử dụng nhờ xem review trên mạng, rất bất ngờ là hết gàu sau 2 lần gội. sau đó ko sử dụng nữa thì cũng ko thấy bị gàu lại",5,0
"Chai bé bằng bàn tay, mùi thuốc bị hôi nồng trong mũi sau khi gội đầu dù nước xà bông không vô mũi, nhưng sau khi gội thì đầu mình không bị ngứa do gàu nữa, dù nhỏ nhưng thuốc rất đặc nên sử dụng rất lâu, mình gội xong thì cũng không bị khó chịu da đầu, sản phẩm rất tốt",5,0
"sử dụng loại này mãng gàu, đỏ da đầu và ngứa hết thật sự, mình dùng được 1 tuần mà hết gàu và ngứa nên mua thêm. sp mình tìm kiếm lâu nay",5,0
sản phẩm ok,4,0
nhanh,5,0
Sản phẩm rất tốt giúp giảm da đầu bị gàu và nấm .,5,0
Ggggg,5,0
"sản phẩm chất lượng tốt, hài lòng !",5,0
giao hàng nhanh .chưa sử dụng nên k biết hiệu quả thế nào,5,0
ok nên dùng,5,0
sản phẩm chất lượng,5,0
rất ok,5,0
gội mới 1 lần mà thấy giảm ngứa tốt .,4,0
Tot,5,0
"Dầu gội này có thật sự hết gàu không ạ , cảm ơn shop mình đã nhận hàng thành công",5,0
"Sản phầm tốt, gội 2, 3 lần giảm gàu rõ rệt.",5,0
sp tốt. chai nhỏ xinh thuận tiện mang du lịch,5,0
Dùng nhiều lần khá tốt,5,0
đhk,5,0
"chai nhỏ hơn tưởng tượng, đúng mô tả, giao hàng nhanh, đóng gói đẹp",5,0
"Tôi rất thích sản phẩm này, da tôi bị gàu rất nhiều, sử dụng thấy có giảm.",5,0
dầu gội sạch gầu.,5,0
Tốt,5,0
"Mới gội lần đầu đã thấy rất sạch. Cực kì ưng ý. Mỗi tội chai dầu gội nhỏ quá, mỗi lần xài mình đều phải ráng chắt chiu.",5,0
"xài tốt, có điều nếu sử dụng dầu gội này thường xuyên thì sẽ bị khô tóc, nên sử dụng kèm dầu xả ( không nhất thiết phải sử dụng dầu xả cùng hãng)",4,0
tôt,5,0
Rất tốt,5,0
nhanh tiện lợi tốt,5,0
"đã dùng thấy rất hiệu quả, gầu sẽ hết sau lần gội thứ 3. nên duy trì mỗi tuần gội 1 lần.",5,0
giá rẻ dùng tốt,5,0
ai cũng nx tốt mà mình dùng lại ko hết gàu,1,0
Sản phẩm có hiệu quả tốt.,5,0
Chất lượng khá ok.lsau sẽ mua tiếp,4,0
"sản phẩm dùng tốt, hết gàu ngay lần gội đầu tiên Tuy nhiên theo hướng dẫn thì vẫn tiếp tục sử dụng để gàu không quay lại, không những hết gầu tóc mình con rất ít đổ dầu. mỗi tội hơi khô tóc phải dùng thêm dầu xả",5,0
"Sản phẩm rất tốt, rất tốt",5,0
"Đóng gói chuẩn, chưa dùng nhưng ban đầu thấy hài lòng",5,0
"Sản phẩm tốt, gội rất sạch gàu, dầu gội thơm mùi dễ chịu. Mình đã mua lần thứ 2 để sử dụng.",5,0
"Sản Phẩm Dùng Tốt, hết ngứa, hết gàu, mỗi tội ai thích mùi thơm thì chắc ko thích mùi dầu gội này.",5,0
"Sản phẩm xài tốt, hết gàu nhưng phải duy trì.",5,0
Sản phẩm của thương hiệu lớn nên rất tin tưởng,5,0
"hàng tốt, giao nhanh, đóng gói kỹ lưỡng",5,0
sản phầm dùng ok nhưng bạn nào tóc bết mà dùg thì gội đc 1 hôm là tóc bết rồi,5,0
Sản phẩm tốt thật xài có cảm giác đỡ ngứa da đầu hơn,5,0
"Mình mới dùng thử một lần, thấy được, ko biết có tác dụng ko. để dùng tiếp đã",5,0
dau goi co td tri giau rat tot nhung gia co hoi mac!,5,0
Sạch gầu trong 1 lần gội...,5,0
"Sản phẩm âu kê lắm lắm nha. Gội 1 lần là bớt ngứa liền ah, hiệu quả ngay ngay luôn ấy. Tuy nhiên là mùi thuốc hơi gắt. Do mình bị nhạy mùi quá. Với thành viên khác trong nhà thì mùi ổn. Chắc mình hơi khó và khác biệt.",5,0
"- sản phẩm có tác dụng và cần sử dụng lâu dài, vì nếu ngưng, gàu sẽ quay trở lại - sau khi gội rất khô, mọi người nên sử dụng thêm dưỡng ẩm - khi tình trạng ổn rồi thì giảm tần suất sử dụng xuống tầm 2 lần/ tuần thôi",4,0
"Trước đây đầu rất hay ngứa, từ lúc dùng selsun 2 lần/tuần tình trạng ngứa giảm hẳn. Sẽ dùng dài dài.",5,0
"Mùi hơi khó chịu, tóc hơi khô. Tuy nhiên hiệu quả sạch gàu tuyệt vời, không thấy ngứa luôn",5,0
"Sản phẩm có hiệu quả thật! Giảm gàu và ngứa thấy rõ. Bình thường mình gội đầu chỉ sau 1 ngày là bắt đầu ngứa ngứa và gàu lại rụng trở lại, giờ có thể yên tâm là trời lạnh lười gội đầu tí cũng được, 3 ngày mà đầu vẫn ko ngứa và gàu thì gần như ko có",5,0
"Mới đầu gội thì mình thấy k có tác dụng thậm chí gàu còn nhiều hơn nhưng sử dụng dc 2,3 lần thấy giảm hẳn. Theo mình thấy nếu bị gàu nhiều thì nên mua kết hợp với gội đầu đúng cách thì đảm bảo sẽ có một quả đầu sạch sẽ và không bị gàu nữa :3",5,0
"vừa dùng chưa biết thế nào tạm thời cho 3sao ,dùng thêm vài lần nữa mới biết chính xác đc",3,0
"sản phẩm trị gàu rất tốt, mn nên sd thử, có điều sẽ bị khô tóc",5,0
Sp okkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk,5,1
"Gội chưa hết chai nhỏ đã hết gàu rồi,rất ưng sản phẩm này",5,0
Sản phẩm phù hợp với mình - đầu hết gầu - thanks tiki,5,0
Sản phẩm tốt hơn mong đợi mình sẽ tiếp tục ủng hộ kít ti,5,0
"Mình đã dùng gần hết chai 50ml này trong 1 tháng. Giá sp so với thời gian sử dụng là hơi đắt, nhưng hiệu quả khá tốt. Mình gội 2 lần/tuần, kết hợp với dầu xả thì thấy da đầu đỡ ngứa hẳn, gàu cũng giảm, các vết sưng tấy trên da đầu cũng đỡ hơn. Tuy nhiên đầu mình vẫn ra dầu nên tóc vẫn bết rất nhanh.",5,0
tốt. các bạn cứ dùng thử 1 chai sẽ muốn mua thêm chai kế tiếp để dùng.,5,0
không ngờ dùng có 1 tí mà sạch không còn gàu luôn .,5,0
s đặc 2 sản phẩm cùng 1 lúc mà tiki giao 2 lần là phải tín 2 lan ship .. ...,2,0
Dùng 2 lần là hết sạch gàu. Giá tốt. Sẽ tiếp tục ủng hộ.,5,0
"Giao hàng nhanh, đóng gói cẩn thận, sẽ ủng hộ thêm nhiều",5,0
"hết ngứa ,tóc giảm rụng và giảm gàu rõ rệt chỉ sau lần gội đầu tiên, giá cũng mềm. ổn. hết lại mua tiếp",5,0
Mình sử dụng rất nhiều loại dầu gọi thuốc như này nhưng với sản phẩm này thì da mình bớt nấm hẳn ra,5,0
"Rất tốt tôi đã gội 2 lần mà gào đã không còn . Không ngứa . Trước đây da dầu tôi bị gào trắng xoá , tróc vảy , mỗi lần chảy tóc là gào rơi đầy bên vai .",5,0
"Sản phẩm rất tốt, rất đáng tiền. Người thân của mình bị gàu do nấm, mảng trắng cực kì nhiều, nhưng gội mới có 1 lần là đầu đã sạch bong rồi, nhìn khác hẳn. Sau lần gội đầu tiên thì các vết ửng đỏ trên da đầu vẫn còn, hi vọng là với những lần gội sau có thể khỏi hẳn luôn. Mùi thơm dễ chịu.",5,0
Mình dùng rất nhiu dầu gội nhưng ko het từ khi gọi selsun mình bớt gàu khi lần đầu sử dụng. Khi gọi xong tóc hơi khô cứng nên kèm theo dầu xả,1,0
Khi mua mình quên để ý 50ml với 100ml Chai này 50ml so với giá giảm thì k đáng giá tiền Vào siêu thị mua cho lẹ,3,0
Dùng được khoảng gần 3 tuần thì không còn thấy nấm da đầu nữa chỉ hỏi không thích mùi của dầu gội còn lại ok,5,0
Mới xài 1 lần thasy cũng ok pgati dùng thêm vài lần nữa mới biết,4,0
"Sản phẩm rất tốt, gội lần thứ hai là sạch bong gàu luôn.",5,0
"đóng gói cẩn thận, giao hàng cực nhanh, nhân viên thân thiện, chưa dùng thử nên chưa biết thế nào",5,0
"mình gội vẫn nhiều gàu như bình thường, không thấy giảm gàu tý nào cả.",2,0
Hàng dùng tốt thật nha. Nhưng nên dùng kèm thêm dầu xả để đỡ xơ tóc.,5,0
"Có tác dụng nhé, gội lần đầu thì không thấy gì nhưng sau 3 lần gội cách ngày thì gàu đã giảm rõ rệt, giờ 1 tuần gội 2 lần thôi nhưng vẫn không thấy gàu, không ngứa. Quá tuyệt vời",5,1
"lần đầu sd đã thấy giảm hẳn gàu, rất thích",5,0
"Trị gàu rất hiệu quả, đầu mình lúc trước rất hay ngứa do nhiều gàu, sau khi gọi 2 lần thấy gàu gần như mất hết, cũng không còn ngứa da đầu nửa.",5,0
Selsun hết hiệu quả với tóc của mình. Da đầu khô và có gầu liền ngày hôm sau.,3,0
Chai thứ 2 mình sd rồi. Đáng thử thiệt nha cả nhà.,5,0
"Sạch gàu thêm tự tin, tóc bị rít, tuy nhiên hết sạch gàu. Rất hài lòng.",5,0
"Gội ngay lần gội đầu tiên đã sạch bong gàu, mình rất hài lòng với sản phẩm này",5,0
"Chồng mình bị gàu nấm rất nhiều, sử dụng thấy rất tốt",5,0
Sản phẩm tốt so với giá tiền. Nhưng tóc hay bị khô và khi đã hết gàu mà ngưng sử dụng thì sẽ bị gàu lại. Nên cũng phải dùng cách quãng và duy trì.,4,0
Mình bị viêm da cơ địa nên rất nhiều mảng gầu và mỏ gầu. Mua về gội một lần hết sạch gàu luôn đến nỗi nhìn da đầu sạch bong thấy cứ lạ lạ,5,0
Sách tặng.,5,0
Hay. Đơn giản và dễ hiểu,5,0
"Giao hàng đúng hẹn, sách bọc cẩn thận. Nội dung thì khỏi phải bàn, tủ sách ai cũng phải có. Cảm ơn tiki, đặt hàng trên tiki mình rất yên tâm về chất lượng và dịch vụ.",5,0
Quy luật của vàng$$$$$,5,0
"Sách hay, thú vị và nhiều điều để học hỏi",5,0
"Sách rất chất lượng, được đóng gói cẩn thận chữ rất rõ, giao đến là mình đọc liền luôn",5,0
"Đã đọc bản ebook,chọn mua ủng hộ sách giấy",5,0
"Sản phẩm sử dụng tốt, giao hàng đúng hẹn",5,0
Rất hay,5,0
"Hàng giao nhanh. Hàng chính hãng có tem đầy đủ, sách mới 100%. Nên mua",5,0
"Đóng gói tốt, giao đúng hẹn",5,0
"Mình đọc gần hết rồi, sách dễ hiểu hay đóng gói chắc chắn shipper nhiệt tình dth. Mọi ng nên đọc qua nhé",5,0
"Sách hay, bổ ích",5,0
Sách tốt có kiểm tra chính hãng,5,0
Hay và dễ đọc,5,0
"Sách được in rất chất lượng, từ bìa tới ruột, có tem cào truy xuất nguồn gốc. Sách được bao gói cẩn thận, còn có thêm thẻ thông báo đợt săn sale.",5,0
"Mua hàng cả tháng nay chưa nhận được hóa đơn VAT, nhắn tin hỗ trợ gọi tổng đài cũng không nhận được phản hồi.",1,0
Sách rất đẹp,5,0
"Shop bọc kĩ lắm mọi người ạ. Tiki giao hàng nhanh, shipper cũng nhiệt tình, lần sau mình sẽ đặt thêm.",5,0
"Định nghĩa đơn giản, thực tế nhất về tạo ra tiền bạc. Sách hay nên đọc nè. Tưởng dày nhưng mỏng thui đọc cái vèo là hết à. Nhiều mẫu chuyện ví dụ nên dễ đọc dễ hiểu. Tên sách hơi thần thánh hoá nhưng nội dung khá thực tế.",5,0
"Tiếp thêm niềm tin vào con đường học hỏi về tài chính cá nhân, nhất là trong những ngày thất vọng về bản thân. Từ video của The Present writter qua đây ✨",5,0
Hài lòng,5,0
Cuốn sách ý nghĩa và hữu ích rất nhiều Chất lượng tốt,5,0
"Nội dung của sách rất hời hợt, xuyên suốt cả cuốn sách chỉ nói về việc tiết kiệm và đầu tư nhưng mình nhưng rất sáo rỗng và ai cũng biết về điều đó. Mình không hiểu được tại sao sách này lại thuộc sách bán chạy nhất 😮‍💨",2,0
Quy trình Bookcare quá cẩu thả,2,0
"Giao hàng nhanh, đóng gói cẩn thận. Sách in đẹp. Độ dầy vừa phải, chữ hơi nhỏ. Nội dung sách hay, rất cuốn hút, nhiều điều mọi người có thể áp dụng ngay được",5,0
"Trời ơi. Hàng đc đóng gói vô cùng cẩn thận, mới. Sách siêu hay. Đây là sách hay nhất nhì của mk rùi. Trời. Quá hay. Cám ơn shop nhiều lắm.",5,0
Rất bổ ích,5,0
Quá cẩn thận bao bì,5,0
"Chất liệu giấy khá OK, nd sách hay. Học được nhiều bài học về tiền trong đó",5,0
Chất lượng giấy ok.chữ ok,4,0
"Sách giao sớm, nhân viên nhiệt tình,sách rất hay và bổ ích",5,0
"Giao hàng nhanh, đóng gói cẩn thận. Sách mua hộ nên mình không rõ nội dung, về ngoại quan là rất mới",5,0
"Cuốn sách ẩn chứa những khái niệm, kiến thức cơ bản trong việc kinh doanh buôn bán và vẫn còn cao giá trị cao trong thời đại ngày nay.",5,0
Nội dung được diễn đạt đơn giản nhưng hiệu quả,5,0
"Bọc sách kĩ, bản chuẩn màu đẹp",5,0
Bị mua thành 2 cuốn muốn đổi lại 1 cuốn mà không biết liên hệ ai,1,0
"Chất lươn sách, thời gian giao hàng",5,0
Sách hay,5,0
Sách đẹp chất liệu giấy tốt,5,0
Giá đọc đc cuốn này sớm hơn,5,0
Áp dụng đc nguyên tắc 10%,5,0
Nội dung ổn sâu sắc,5,0
cực kì hay,5,0
"Đây là 1 quyển sách rất hay và đầy ý nghĩa. Nó nhân văn qua câu chuyện tác giả kể trong suốt cuộc hành trình của mình, qua đó giúp người đọc hiểu rõ, dễ hơn trong việc quản lý tiền, thoát khỏi dần trong nợ nần, và tạo 1 quỹ tài chính riêng trong khoảng thời gian khó khăn.",5,0
tuyệt,5,0
Nên đọc để có thể bắt đầu tiết kiệm cho bản thân ngay từ bây giờ. Nên đọc.,5,0
"Hình thức new , nội dung thì miễn bàn 5*",5,0
Sách đọc rất hay và dễ hiểu những quy tắc giúp chúng ta quản lý tài chính rất hiểu quả,5,0
Hay,5,0
"Chất lượng giấy rất tốt, sách đẹp Gói hàng khá ổn. Nhưng nếu bọc kĩ hơn 1 chút thì tốt",5,0
nghe bảo khá hay,5,0
"Về phần nhìn của sách thì ổn, nhưng nội dung hơi đơn giản, như kiểu phù hợp cho lứa tuổi cấp 2-3",4,0
"Đóng gói cẩn thận, chất lượng giấy in dày tốt. Nội dung cuốn sách nói về cách làm giàu của người Babylon, thông tin hữu ích thực tế và đáng đọc ☺️☺️",5,0
"Sản phẩm tốt, nên mua.",5,0
"Sẽ không bao giờ hết tiền khi đọc và áp dụng những bài học từ cuốn sách này! Nội dung khá cuốn hút! Cảm giác như đọc truyện cổ tích vậy chứ không phải một cuốn sách chỉ dẫn bình thường! Giá ở tiki thì rẻ nhất rồi (nên mua 1 lần 2,3 cuốn để còn đc giảm phí ship)",5,0
Hài lòng với sản phẩm,5,0
Mua sách ở first new thì hoàn toàn yên tâm.,5,0
5* cho sản phẩm và gói hàng. Sách thì chưa đọc nhưng đc review nên chắc ok,5,0
Ủng hộ mua sách tiki để tiki vẫn duy trì ạ,5,0
Không bị hư hại gì,5,0
"Giao hàng nhanh, nowship 2h mà tầm 1h đổ lại đã nhận đc hàng, phí ship ko được hỗ trợ gì,",5,0
"Sách gốc đẹp, giấy dày, có in màu",5,0
Giao hang cẩn thận,5,0
shop giao đúng hàng,5,0
