text,cleaned_text,rating,sentiment_label,tokens_word,tokens_subword
Áo vàng khè cũng ship cho khách chịu luôn chả hiểu shop bán áo trắng hay áo ố vàng cháo lòng. Màu mới à,áo vàng khè cũng ship cho khách chịu luôn chả hiểu shop bán áo trắng hay áo_ố vàng cháo_lòng . màu mới à,1,tiêu cực,áo vàng khè cũng ship cho khách chịu luôn chả hiểu shop bán áo trắng hay áo_ố vàng cháo_lòng . màu mới à,áo vàng kh@@ è cũng ship cho khách chịu luôn chả hiểu shop bán áo trắng hay áo_@@ ố vàng cháo_lòng . màu mới à
áo vải oke mình mua size L nó to kinh khủng nhưng mà shop giao áo hơi nhăn nha,áo vải oke mình mua kích_cỡ l nó to kinh_khủng nhưng_mà shop giao áo hơi nhăn nha,1,tiêu cực,áo vải oke mình mua kích_cỡ l nó to_kinh_khủng nhưng_mà shop giao áo hơi nhăn nha,áo vải o@@ ke mình mua kích_cỡ l nó to kinh_khủng nhưng_mà shop giao áo hơi nhăn nha
mẹ nó áo l gì mặc bào dính bụi đen gì cả người lấy tay quẹt qua cũng dính đen cả tay giặt xong tưởng hết ai dè mặc vào vẫn dính đen đầy người không nên mua nhé,mẹ nó áo_l gì mặc_bào dính bụi đen gì cả người lấy tay quẹt qua cũng dính đen cả tay giặt xong tưởng hết ai dè_mặc vào vẫn dính đen đầy người không nên mua nhé,1,tiêu cực,mẹ nó áo_l gì mặc_bào dính bụi đen gì cả người lấy tay quẹt qua cũng dính đen cả tay giặt xong tưởng hết ai dè_mặc vào vẫn dính đen đầy người không nên mua nhé,mẹ nó áo_@@ l gì mặc_@@ bào dính bụi đen gì cả người lấy tay quẹt qua cũng dính đen cả tay giặt xong tưởng hết ai d@@ è_@@ mặc vào vẫn dính đen đầy người không nên mua nhé
Màu sắc:trắng Đúng với mô tả:lúc trước mua áo ko có đường may ngay bên sườn mà nay thì có. Vải cũng thô cứng hơn lúc trước Chất liệu:cotton,màu_sắc trắng đúng với mô_tả lúc trước mua áo không có đường may ngay bên sườn mà nay thì có . vải cũng thô_cứng hơn lúc trước chất_lượng liệu cotton,1,tiêu cực,màu_sắc trắng đúng với mô_tả lúc trước mua áo không có đường may ngay bên sườn mà nay thì có . vải cũng thô_cứng hơn lúc trước chất_lượng_liệu cotton,màu_sắc trắng đúng với mô_tả lúc trước mua áo không có đường may ngay bên sườn mà nay thì có . vải cũng thô_@@ cứng hơn lúc trước chất_lượng liệu cotton
Áo may lỗi mà vẫn giao cho khách:)) Chất vải mỏng trải nghiệm tệ thật sự 😢,áo may_lỗi mà vẫn giao cho khách chất_lượng vải mỏng trải_nghiệm tệ thật_sự,1,tiêu cực,áo may_lỗi mà vẫn giao cho khách chất_lượng vải mỏng trải_nghiệm_tệ thật_sự,áo may_@@ lỗi mà vẫn giao cho khách chất_lượng vải mỏng trải_nghiệm tệ thật_sự
Chất liệu:🤮 Màu sắc:🥶 Đúng với mô tả:ko 2 năm nay là thành viên kim cương shopee chưa đánh giá 1 sao bao giờ . từ giao hàng cho đến sản phẩm k có tí gì gọi là hài lòng,chất_lượng liệu màu_sắc đúng với mô_tả không 2 năm nay là thành_viên kim_cương shopee chưa đánh_giá 1 sao bao_giờ . từ giao hàng cho đến sản_phẩm không có tí gì gọi_là hài_lòng,1,tiêu cực,chất_lượng_liệu màu_sắc đúng với mô_tả không 2 năm nay là thành_viên kim_cương shopee chưa đánh_giá 1 sao bao_giờ . từ giao hàng cho đến sản_phẩm không có tí gì gọi_là hài_lòng,chất_lượng liệu màu_sắc đúng với mô_tả không 2 năm nay là thành_viên kim_cương sho@@ pee chưa đánh_giá 1 sao bao_giờ . từ giao hàng cho đến sản_phẩm không có tí gì gọi_là hài_lòng
"Đúng với mô tả:áo bị lỗi Do mình đã mua đây là cái áo t4 nên khi mở hàng cũng không xem kỹ , nhắn shop bảo do phơi sai mà trong khi đó mấy áo trc có áo nào bị đâu , khơi phơi thì đồ đã ráo nước nên không thể nào kéo giãn ra vậy đc , trong khi mấy áo trước mình đã sd 3-4 tháng mà cổ áo vẫn bth. Cổ áo đứng lên như thế mà shop bảo không phải lỗi mình cũng chả hiểu . Xưa giờ mặc bao nhiêu áo chưa gặp trường hợp này bgio. Đây là lần đầu tiên mình phải đánh giá 1 sao. Shop không giải quyết được vấn đề.","đúng với mô_tả áo bị lỗi do mình đã mua đây là cái áo t4 nên khi mở hàng cũng không xem kỹ , nhắn_shop bảo do phơi sai mà trong khi đó mấy áo trc có áo nào bị đâu , khơi phơi thì đồ đã ráo nước nên không_thể_nào kéo giãn ra vậy được , trong khi mấy áo trước mình đã sd 3 4 tháng mà cổ_áo vẫn bth . cổ áo đứng lên như_thế mà shop bảo không phải lỗi mình cũng chả hiểu . xưa giờ mặc bao_nhiêu áo chưa gặp trường_hợp này bgio . đây là lần đầu_tiên mình phải đánh_giá 1 sao . shop không giải_quyết được vấn_đề .",1,tiêu cực,"đúng với mô_tả áo bị lỗi do mình đã mua đây là cái áo t4 nên khi mở hàng cũng không xem kỹ , nhắn_shop bảo do phơi sai mà trong khi đó mấy áo trc có áo nào bị đâu , khơi phơi thì đồ đã ráo nước nên không_thể_nào kéo giãn ra vậy được , trong khi mấy áo trước mình đã sd 3 4 tháng mà cổ_áo vẫn bth . cổ áo đứng lên như_thế mà shop bảo không phải lỗi mình cũng chả hiểu . xưa giờ mặc bao_nhiêu áo chưa gặp trường_hợp này bgio . đây là lần đầu_tiên mình phải đánh_giá 1 sao . shop không giải_quyết được vấn_đề .","đúng với mô_tả áo bị lỗi do mình đã mua đây là cái áo t@@ 4 nên khi mở hàng cũng không xem kỹ , nh@@ ắ@@ n_s@@ hop bảo do phơi sai mà trong khi đó mấy áo tr@@ c có áo nào bị đâu , khơi phơi thì đồ đã ráo nước nên không_thể_nào kéo giãn ra vậy được , trong khi mấy áo trước mình đã s@@ d 3 4 tháng mà cổ_@@ áo vẫn b@@ th . cổ áo đứng lên như_thế mà shop bảo không phải lỗi mình cũng chả hiểu . xưa giờ mặc bao_nhiêu áo chưa gặp trường_hợp này b@@ gio . đây là lần đầu_tiên mình phải đánh_giá 1 sao . shop không giải_quyết được vấn_đề ."
Đúng với mô tả:không đúng mô tả Dây chun của quần thế này thì có mà zời đỡ ạ,đúng với mô_tả không đúng mô_tả dây_chun của quần thế_này thì có mà zời đỡ ạ,1,tiêu cực,đúng với mô_tả không đúng mô_tả_dây_chun của quần_thế_này thì có mà zời đỡ ạ,đúng với mô_tả không đúng mô_tả dây_@@ chun của quần thế_này thì có mà z@@ ời đỡ ạ
"Chất vải dày dặn, màu đẹp. Nhưng giao sai size. Ko có thgian để đổi lại nên đành chịu!","chất_lượng vải dày_dặn , màu đẹp . nhưng giao sai kích_cỡ . không có thgian để đổi lại nên đành chịu !",1,tiêu cực,"chất_lượng vải dày_dặn , màu đẹp . nhưng giao sai kích_cỡ . không có thgian để đổi lại nên đành chịu !","chất_lượng vải dày_dặn , màu đẹp . nhưng giao sai kích_cỡ . không có th@@ gian để đổi lại nên đành chịu !"
"Áo rất tệ, mua về không để ý, bỏ trong tủ 2 tuần sau lấy ra xem thì phát hiện rách. Mọi người đừng mua phí tiền mà ko mặc được!!! Hình ảnh chỉ mang tính chất nhận xu thôi nha mọi người ơiiii!!!","áo rất tệ , mua về không để_ý , bỏ trong tủ 2 tuần sau lấy ra xem thì phát_hiện rách . mọi người đừng mua phí tiền mà không mặc được ! hình_ảnh chỉ mang tính_chất_lượng nhận xu thôi_nha mọi người ơi !",1,tiêu cực,"áo rất tệ , mua về không để_ý , bỏ trong tủ 2 tuần sau lấy ra xem thì phát_hiện_rách . mọi người đừng mua phí tiền mà không mặc được !_hình_ảnh chỉ mang tính_chất_lượng nhận xu_thôi_nha mọi người ơi !","áo rất tệ , mua về không để_ý , bỏ trong tủ 2 tuần sau lấy ra xem thì phát_hiện rách . mọi người đừng mua phí tiền mà không mặc được ! hình_ảnh chỉ mang tính_@@ chất_lượng nhận xu thôi_@@ nha mọi người ơi !"
"Mua đơn hàng 2 áo 1 đen 1 trắng size M , shop giao 2 cái trắng size S , vì mình ở nước ngoài nên mẹ mình là người nhận hàng và k biết shop giao sai , đến khi mình nhận được thì mới biết giao sai và có nhắn shop , shop nói nhận hàng k hiểm hàng là lỗi của mình , đi nước ngoài thì làm sao shop chịu được , vâng k kiểm hàng là lỗi của mình , đi nước ngoài cũng lỗi của mình luôn , mình xin lỗi vì đã đặt hàng của shop nhé","mua đơn hàng 2 áo 1 đen 1 trắng_kích_cỡ mình , shop giao 2 cái trắng_kích_cỡ s , vì mình ở nước_ngoài nên mẹ mình là người nhận hàng và không biết shop giao sai , đến khi mình nhận được thì mới biết giao sai và có nhắn_shop , shop nói nhận hàng_không hiểm_hàng là lỗi của mình , đi nước_ngoài thì làm_sao shop chịu được , vâng không kiểm_hàng là lỗi của mình , đi nước_ngoài cũng lỗi của mình luôn , mình xin_lỗi vì đã đặt_hàng của shop nhé",1,tiêu cực,"mua đơn hàng 2 áo 1 đen 1 trắng_kích_cỡ mình , shop giao 2 cái trắng_kích_cỡ s , vì mình ở nước_ngoài nên mẹ mình là người nhận hàng và không biết shop giao sai , đến khi mình nhận được thì mới biết giao sai và có nhắn_shop , shop nói nhận hàng_không hiểm_hàng là lỗi của mình , đi nước_ngoài thì làm_sao shop chịu được , vâng không kiểm_hàng là lỗi của mình , đi nước_ngoài cũng lỗi của mình luôn , mình xin_lỗi vì đã đặt_hàng của shop nhé","mua đơn hàng 2 áo 1 đen 1 trắng_@@ kích_cỡ mình , shop giao 2 cái trắng_@@ kích_cỡ s , vì mình ở nước_ngoài nên mẹ mình là người nhận hàng và không biết shop giao sai , đến khi mình nhận được thì mới biết giao sai và có nh@@ ắ@@ n_s@@ hop , shop nói nhận hàng_không hiểm_@@ hàng là lỗi của mình , đi nước_ngoài thì làm_sao shop chịu được , vâng không kiểm_@@ hàng là lỗi của mình , đi nước_ngoài cũng lỗi của mình luôn , mình xin_lỗi vì đã đặt_hàng của shop nhé"
"Vải mỏng,áo nhăn,k khác gì giẻ lâu nhà,k hợp vs giá tiền,rất thất vọng về shop.","vải mỏng , áo_nhăn , không khác_gì giẻ lâu nhà , không hợp với giá tiền , rất thất_vọng về shop .",1,tiêu cực,"vải mỏng , áo_nhăn , không khác_gì giẻ lâu nhà , không hợp với giá tiền , rất thất_vọng về shop .","vải mỏng , áo_@@ nhăn , không khác_@@ gì giẻ lâu nhà , không hợp với giá tiền , rất thất_vọng về shop ."
"Anh shipper thân thiện đẹp zai,chủ sản phẩm bán áo xấu vãi","anh shipper thân_thiện đẹp_zai , chủ sản_phẩm bán áo xấu vãi",1,tiêu cực,"anh shipper thân_thiện_đẹp_zai , chủ sản_phẩm bán áo xấu vãi","anh shipper thân_thiện đẹp_@@ zai , chủ sản_phẩm bán áo xấu vãi"
Màu sắc:đen,màu_sắc đen,1,tiêu cực,màu_sắc đen,màu_sắc đen
"Chất liệu:thô ráp, ko phải hàng kirkland thật Màu sắc:đen, trắng, xám, chì Đúng với mô tả:hàng nhái Vải thô, ko hút mồ hôi, kiểu chống thấm nước, cảm giác có nhiều % nilong hơn cotton. Khi mặc vào có cảm giác ngứa, nóng vì áo ko hút mồ hôi. Hình như kirkland thật chỉ có áo màu trắng và đen thôi, với lại vải đúng khuôn ở thân chứ ko phải kiểu ghép. Mép trong cắt may lồi lõm khá tệ","chất_lượng liệu thô_ráp , không phải hàng kirkland thật màu_sắc đen , trắng , xám , chì đúng với mô_tả hàng nhái vải thô , không hút mồ_hôi , kiểu chống thấm nước , cảm_giác có nhiều nilong hơn cotton . khi mặc vào có cảm_giác ngứa , nóng vì áo không hút mồ_hôi . hình_như kirkland thật chỉ có áo màu trắng và đen thôi , với_lại vải đúng khuôn ở thân chứ không phải kiểu ghép . mép trong cắt may lồi_lõm khá tệ",1,tiêu cực,"chất_lượng_liệu thô_ráp , không phải hàng kirkland thật màu_sắc đen , trắng , xám , chì đúng với mô_tả hàng nhái vải thô , không hút mồ_hôi , kiểu chống thấm nước , cảm_giác có nhiều nilong hơn cotton . khi mặc vào có cảm_giác_ngứa , nóng vì áo không hút mồ_hôi . hình_như kirkland thật chỉ có áo màu trắng và đen thôi , với_lại vải đúng khuôn ở thân chứ không phải kiểu ghép . mép trong cắt may lồi_lõm khá tệ","chất_lượng liệu thô_ráp , không phải hàng kir@@ k@@ land thật màu_sắc đen , trắng , xám , chì đúng với mô_tả hàng nhái vải thô , không hút mồ_hôi , kiểu chống thấm nước , cảm_giác có nhiều nil@@ ong hơn cotton . khi mặc vào có cảm_giác ngứa , nóng vì áo không hút mồ_hôi . hình_như kir@@ k@@ land thật chỉ có áo màu trắng và đen thôi , với_lại vải đúng khuôn ở thân chứ không phải kiểu ghép . mép trong cắt may lồi_lõm khá tệ"
